거래ID,날짜,카테고리,가맹점,결제수단,금액,메모
TX100306,2025-04-26,문화/여가,CGV,신용카드,14700.0,
TX100696,2025-09-19,교통,서울교통공사,신용카드,3800.0,
TX100278,2025-04-16,식비,동네식당,체크카드,8400.0,
TX100936,2025-12-17,카페/간식,베스킨라빈스,신용카드,10700.0,
TX100010,2025-01-03,교통,주차장,신용카드,3800.0,
TX100527,2025-07-18,의료/건강,약국,간편결제,20100.0,
TX100229,2025-03-29,식비,한솥도시락,신용카드,28800.0,
TX100060,2025-01-19,교통,서울교통공사,신용카드,5100.0,
TX100762,2025-10-10,카페/간식,이디야커피,신용카드,10500.0,
TX100620,2025-08-21,식비,쿠팡이츠,신용카드,148000.0,
TX100792,2025-10-23,구독서비스,왓챠,신용카드,12500.0,
TX100854,2025-11-16,식비,교촌치킨,간편결제,8500.0,
TX100205,2025-03-18,구독서비스,왓챠,체크카드,15400.0,
TX100260,2025-04-08,교통,주유소(SK),신용카드,2800.0,
TX100783,2025-10-20,식비,배달의민족,신용카드,9400.0,
TX100849,2025-11-14,구독서비스,넷플릭스,간편결제,5300.0,
TX100437,2025-06-15,교통,주차장,간편결제,,
TX100062,2025-01-21,식비,요기요,간편결제,22000.0,
TX100807,2025-10-29,카페/간식,메가커피,신용카드,1000.0,
TX100754,2025-10-08,카페/간식,투썸플레이스,신용카드,11000.0,
TX100572,2025-08-03,문화/여가,넷플릭스 결제,신용카드,21900.0,
TX100473,2025-06-27,교통,카카오T,신용카드,3600.0,
TX100750,2025-10-07,식비,맘스터치,신용카드,17100.0,
TX100772,2025-10-14,교통,주차장,신용카드,1500.0,
TX100819,2025-11-02,카페/간식,스타벅스,체크카드,1000.0,
TX100583,2025-08-07,카페/간식,컴포즈커피,체크카드,4400.0,
TX100452,2025-06-20,교통,SRT,신용카드,2000.0,
TX100781,2025-10-19,식비,,신용카드,20400.0,
TX100516,2025-07-15,식비,쿠팡이츠,간편결제,13400.0,
TX100110,2025-02-10,식비,요기요,신용카드,23500.0,
TX100545,2025-07-24,교통,SRT,간편결제,3800.0,
TX100959,2025-12-27,식비,김밥천국,간편결제,6300.0,
TX100668,2025-09-07,쇼핑,,간편결제,2200.0,
TX100743,2025-10-04,식비,요기요,체크카드,25100.0,
TX100590,2025-08-09,경조사/기타,경조사비,신용카드,112700.0,
TX100925,2025-12-12,카페/간식,메가커피,신용카드,9100.0,
TX100514,2025-07-14,식비,요기요,체크카드,6400.0,
TX100581,2025-08-06,교통,SRT,체크카드,4200.0,
TX100709,2025-09-24,식비,요기요,신용카드,7600.0,
TX100352,2025-05-13,식비,교촌치킨,신용카드,14800.0,
TX100129,2025-02-16,카페/간식,파리바게뜨,체크카드,,
TX100566,2025-08-02,카페/간식,스타벅스,간편결제,7100.0,
TX100552,2025-07-27,식비,요기요,신용카드,11600.0,
TX100454,2025-06-21,카페/간식,투썸플레이스,신용카드,9500.0,
TX100372,2025-05-20,카페/간식,이디야커피,체크카드,4100.0,
TX100285,2025-04-18,교통,SRT,신용카드,3500.0,
TX100448,2025-06-19,카페/간식,이디야커피,신용카드,6000.0,
TX100544,2025-07-24,식비,김밥천국,체크카드,24300.0,
TX100530,2025-07-19,교통,주유소(SK),신용카드,,
TX100586,2025-08-08,쇼핑,네이버페이,신용카드,35100.0,
TX100676,2025-09-10,카페/간식,베스킨라빈스,체크카드,5300.0,
TX100245,2025-04-03,식비,김밥천국,신용카드,2000.0,
TX100133,2025-02-18,카페/간식,컴포즈커피,간편결제,8600.0,
TX100711,2025-09-24,교통,SRT,간편결제,1000.0,
TX100604,2025-08-15,구독서비스,멜론,간편결제,1000.0,
TX100622,2025-08-22,카페/간식,메가커피,체크카드,9400.0,
TX100695,2025-09-18,쇼핑,올리브영,신용카드,47500.0,
TX100049,2025-01-16,카페/간식,투썸플레이스,체크카드,4500.0,
TX100072,2025-01-25,식비,요기요,신용카드,22900.0,
TX100284,2025-04-18,식비,요기요,체크카드,21600.0,
TX100421,2025-06-11,식비,본죽,체크카드,6500.0,
TX100942,2025-12-20,카페/간식,파리바게뜨,신용카드,7700.0,
TX100557,2025-07-30,식비,편의점(GS25),신용카드,20900.0,
TX100800,2025-10-26,카페/간식,스타벅스,신용카드,10600.0,
TX100481,2025-06-30,문화/여가,여행사,신용카드,11100.0,
TX100600,2025-08-14,교통,주차장,체크카드,2400.0,
TX100467,2025-06-25,교통,SRT,체크카드,2700.0,
TX100325,2025-05-04,카페/간식,스타벅스,신용카드,12600.0,
TX100233,2025-03-30,교통,주유소(SK),신용카드,3800.0,
TX100366,2025-05-18,교통,SRT,신용카드,5800.0,
TX100098,2025-02-04,카페/간식,베스킨라빈스,체크카드,4500.0,
TX100327,2025-05-04,문화/여가,호텔예약,체크카드,1000.0,
TX100870,2025-11-22,식비,교촌치킨,신용카드,12000.0,
TX100464,2025-06-24,경조사/기타,기부,신용카드,51600.0,
TX100128,2025-02-16,식비,김밥천국,신용카드,17100.0,
TX100692,2025-09-17,교통,주유소(SK),신용카드,3600.0,
TX100484,2025-07-02,식비,한솥도시락,체크카드,7300.0,
TX100535,2025-07-21,카페/간식,베스킨라빈스,신용카드,8100.0,
TX100601,2025-08-14,경조사/기타,기부,체크카드,1000.0,
TX100720,2025-09-26,쇼핑,다이소,신용카드,38000.0,
TX100081,2025-01-27,의료/건강,약국,신용카드,17100.0,
TX100159,2025-02-28,의료/건강,약국,신용카드,17600.0,
TX100643,2025-08-30,의료/건강,한의원,신용카드,10900.0,
TX100872,2025-11-22,경조사/기타,기부,신용카드,26400.0,
TX100559,2025-07-30,쇼핑,무신사,신용카드,47300.0,
TX100713,2025-09-25,식비,본죽,신용카드,15900.0,
TX100848,2025-11-14,교통,카카오T,신용카드,2500.0,
TX100542,2025-07-23,카페/간식,스타벅스,신용카드,7600.0,
TX100773,2025-10-15,식비,동네식당,신용카드,13600.0,
TX100610,2025-08-17,교통,서울교통공사,간편결제,3100.0,
TX100674,2025-09-09,교통,주유소(SK),신용카드,2700.0,
TX100295,2025-04-22,교통,주유소(SK),체크카드,2700.0,
TX100180,2025-03-10,의료/건강,헬스장,간편결제,1000.0,
TX100718,2025-09-26,카페/간식,컴포즈커피,체크카드,3500.0,
TX100373,2025-05-20,쇼핑,무신사,간편결제,113500.0,
TX100931,2025-12-14,카페/간식,컴포즈커피,체크카드,4500.0,
TX100123,2025-02-14,카페/간식,컴포즈커피,신용카드,7900.0,
TX100499,2025-07-07,카페/간식,이디야커피,체크카드,1900.0,
TX100732,2025-09-30,식비,맘스터치,간편결제,137000.0,
TX100920,2025-12-10,식비,편의점(GS25),신용카드,16500.0,
TX100818,2025-11-02,식비,쿠팡이츠,신용카드,8500.0,
TX100424,2025-06-11,문화/여가,공연티켓,체크카드,35600.0,
TX100272,2025-04-13,식비,동네식당,신용카드,15200.0,
TX100809,2025-10-30,식비,한솥도시락,간편결제,11300.0,
TX100337,2025-05-07,교통,서울교통공사,간편결제,2800.0,
TX100368,2025-05-18,문화/여가,넷플릭스 결제,신용카드,54500.0,
TX100628,2025-08-25,카페/간식,이디야커피,신용카드,7200.0,
TX100427,2025-06-12,교통,주차장,신용카드,,
TX100014,2025-01-05,식비,본죽,체크카드,19900.0,
TX100221,2025-03-24,교통,주유소(SK),신용카드,3600.0,
TX100290,2025-04-21,식비,,신용카드,24100.0,
TX100626,2025-08-24,문화/여가,넷플릭스 결제,체크카드,26300.0,
TX100890,2025-11-30,카페/간식,메가커피,신용카드,8800.0,
TX100505,2025-07-09,경조사/기타,경조사비,체크카드,50600.0,
TX100929,2025-12-13,쇼핑,쿠팡,체크카드,38000.0,
TX100826,2025-11-06,식비,편의점(GS25),체크카드,8600.0,
TX100346,2025-05-10,카페/간식,메가커피,신용카드,7300.0,
TX100965,2025-12-29,카페/간식,컴포즈커피,신용카드,6300.0,
TX100364,2025-05-17,구독서비스,넷플릭스,체크카드,10600.0,
TX100173,2025-03-08,식비,교촌치킨,체크카드,26100.0,
TX100670,2025-09-08,카페/간식,베스킨라빈스,신용카드,2300.0,
TX100147,2025-02-23,식비,쿠팡이츠,신용카드,11100.0,
TX100187,2025-03-13,카페/간식,메가커피,신용카드,9300.0,
TX100041,2025-01-14,식비,맘스터치,신용카드,14300.0,
TX100340,2025-05-08,교통,카카오T,신용카드,2600.0,
TX100488,2025-07-03,교통,주차장,체크카드,3800.0,
TX100904,2025.09.03,교통,카카오T,간편결제,5100.0,
TX100287,2025-04-19,카페/간식,파리바게뜨,체크카드,8800.0,
TX100329,2025-05-05,식비,김밥천국,신용카드,17400.0,
TX100139,2025-02-19,구독서비스,왓챠,신용카드,13200.0,
TX100056,2025-01-18,교통,서울교통공사,체크카드,1500.0,
TX100415,2025-06-08,문화/여가,CGV,체크카드,77400.0,
TX100217,2025-03-23,식비,김밥천국,신용카드,13000.0,
TX100905,2025-12-05,식비,김밥천국,신용카드,15300.0,
TX100052,2025-01-17,카페/간식,베스킨라빈스,신용카드,9300.0,
TX100659,2025-09-04,카페/간식,이디야커피,신용카드,6700.0,
TX100799,2025-10-26,식비,요기요,간편결제,4600.0,
TX100702,2025-09-21,카페/간식,파리바게뜨,체크카드,5300.0,
TX100309,2025-04-27,교통,카카오T,신용카드,2300.0,
TX100023,2025-01-07,식비,김밥천국,신용카드,25300.0,
TX100885,2025-11-28,통신,KT,간편결제,69800.0,
TX100396,2025-05-30,카페/간식,파리바게뜨,신용카드,6900.0,
TX100443,2025-06-17,쇼핑,네이버페이,간편결제,59900.0,
TX100873,2025-11-23,식비,맘스터치,신용카드,7000.0,
TX100956,2025-12-25,카페/간식,투썸플레이스,체크카드,5000.0,
TX100114,2025-02-11,쇼핑,쿠팡,체크카드,30500.0,
TX100501,2025-07-08,교통,서울교통공사,체크카드,2700.0,
TX100332,2025-05-05,주거/관리비,한국전력공사,간편결제,608200.0,
TX100887,2025-11-29,식비,동네식당,간편결제,18000.0,
TX100541,2025-07-23,식비,동네식당,체크카드,11700.0,
TX100211,2025-03-20,카페/간식,메가커피,체크카드,9800.0,
TX100766,2025-10-12,교통,SRT,신용카드,3500.0,
TX100663,2025-09-06,카페/간식,파리바게뜨,신용카드,-4800.0,
TX100143,2025-02-21,식비,쿠팡이츠,신용카드,8600.0,
TX100051,2025-01-17,식비,배달의민족,체크카드,6400.0,
TX100166,2025-03-04,식비,편의점(GS25),신용카드,17800.0,
TX100916,2025-12-08,문화/여가,넷플릭스 결제,간편결제,49000.0,
TX100564,2025-08-01,교통,주유소(SK),신용카드,4600.0,
TX100082,2025-01-28,식비,쿠팡이츠,간편결제,12300.0,
TX100906,2025-12-05,카페/간식,메가커피,신용카드,5600.0,
TX100672,2025-09-09,식비,맘스터치,체크카드,12100.0,
TX100879,2025-11-26,식비,동네식당,신용카드,8500.0,
TX100067,2025-01-23,카페/간식,컴포즈커피,신용카드,7500.0,
TX100843,2025-11-12,의료/건강,한의원,간편결제,1000.0,
TX100958,2025-12-26,카페/간식,컴포즈커피,체크카드,13500.0,
TX100967,2025-12-30,카페/간식,이디야커피,신용카드,7900.0,
TX100686,2025-09-14,카페/간식,컴포즈커피,간편결제,6700.0,
TX100398,2025-05-30,구독서비스,유튜브프리미엄,체크카드,8000.0,
TX100948,2025-12-22,교통,주차장,체크카드,4200.0,
TX100065,2025-01-22,식비,교촌치킨,체크카드,14600.0,
TX100631,2025-08-26,카페/간식,컴포즈커피,신용카드,5600.0,
TX100265,2025-04-10,카페/간식,컴포즈커피,신용카드,9800.0,
TX100900,2025-12-03,카페/간식,투썸플레이스,체크카드,3600.0,
TX100653,2025-09-03,카페/간식,베스킨라빈스,신용카드,7000.0,
TX100474,2025-06-27,문화/여가,여행사,신용카드,1000.0,
TX100021,2025-01-06,교통,SRT,신용카드,3100.0,
TX100351,2025-05-12,카페/간식,파리바게뜨,신용카드,9900.0,
TX100748,2025-10-05,쇼핑,다이소,신용카드,80900.0,
TX100680,2025-09-11,구독서비스,넷플릭스,신용카드,14000.0,
TX100397,2025-05-30,교통,카카오T,체크카드,3200.0,
TX100727,2025-09-29,식비,맘스터치,신용카드,13100.0,
TX100262,2025-04-09,식비,김밥천국,간편결제,6600.0,
TX100637,2025-08-28,교통,주유소(SK),체크카드,5800.0,
TX100465,2025-06-25,식비,편의점(GS25),신용카드,19000.0,
TX100830,2025-11-08,식비,배달의민족,체크카드,10300.0,
TX100700,2025-09-20,문화/여가,공연티켓,신용카드,41000.0,
TX100802,2025-10-27,카페/간식,파리바게뜨,신용카드,6600.0,
TX100189,2025-03-14,식비,배달의민족,체크카드,17100.0,
TX100252,2025-04-06,식비,배달의민족,신용카드,17600.0,
TX100076,2025-01-25,구독서비스,넷플릭스,신용카드,15900.0,
TX100902,2025-12-04,식비,본죽,체크카드,12500.0,
TX100348,2025-05-11,교통,서울교통공사,신용카드,3000.0,
TX100511,2025-07-12,식비,편의점(CU),체크카드,10900.0,
TX100317,2025-05-02,식비,배달의민족,신용카드,11200.0,
TX100360,2025-05-16,식비,김밥천국,신용카드,5300.0,
TX100650,2025-09-02,식비,한솥도시락,신용카드,17300.0,
TX100908,2025-12-05,경조사/기타,기부,신용카드,11600.0,
TX100512,2025-07-12,카페/간식,메가커피,체크카드,7000.0,
TX100423,2025-06-11,교통,SRT,신용카드,3500.0,
TX100543,2025-07-23,의료/건강,약국,체크카드,1000.0,
TX100665,2025-09-07,식비,배달의민족,신용카드,10500.0,
TX100717,2025-09-26,식비,교촌치킨,체크카드,8000.0,
TX100788,2025-10-22,카페/간식,스타벅스,체크카드,9400.0,
TX100419,2025-06-10,교통,서울교통공사,간편결제,4300.0,
TX100661,2025-09-05,식비,배달의민족,신용카드,19900.0,
TX100690,2025-09-16,카페/간식,이디야커피,체크카드,7400.0,
TX100565,2025-08-02,식비,김밥천국,신용카드,14800.0,
TX100776,2025-10-16,문화/여가,호텔예약,신용카드,28300.0,
TX100410,2025-06-06,식비,편의점(CU),신용카드,18100.0,
TX100219,2025-03-23,주거/관리비,도시가스,체크카드,490600.0,
TX100238,2025-04-01,식비,편의점(GS25),신용카드,10800.0,
TX100500,2025-07-08,식비,한솥도시락,신용카드,17700.0,
TX100510,2025-07-11,교통,카카오T,신용카드,3700.0,
TX100193,2025-03-15,카페/간식,스타벅스,신용카드,2600.0,
TX100450,2025-06-20,식비,본죽,신용카드,14500.0,
TX100192,2025-03-15,식비,배달의민족,신용카드,6700.0,
TX100782,2025-10-19,카페/간식,이디야커피,간편결제,,
TX100515,2025-07-14,교통,주유소(SK),간편결제,3700.0,
TX100135,2025-02-18,통신,KT,간편결제,56700.0,
TX100420,2025-06-10,쇼핑,지마켓,간편결제,137200.0,
TX100253,2025-04-06,카페/간식,컴포즈커피,신용카드,5400.0,
TX100868,2025-11-21,식비,배달의민족,신용카드,8500.0,
TX100264,2025-04-10,식비,김밥천국,신용카드,13000.0,
TX100071,2025-01-24,문화/여가,넷플릭스 결제,신용카드,29700.0,
TX100273,2025-04-14,식비,한솥도시락,체크카드,,
TX100482,2025-07-01,식비,배달의민족,신용카드,15500.0,
TX100328,2025-05-04,구독서비스,쿠팡와우,간편결제,14100.0,
TX100116,2025-02-12,카페/간식,베스킨라빈스,신용카드,8500.0,
TX100324,2025-05-04,식비,교촌치킨,간편결제,13500.0,
TX100933,2025-12-15,식비,동네식당,체크카드,11400.0,
TX100940,2025-12-19,교통,주차장,신용카드,7800.0,
TX100755,2025-10-08,교통,주차장,신용카드,2700.0,
TX100388,2025-05-25,문화/여가,여행사,간편결제,25200.0,
TX100602,2025-08-15,식비,편의점(GS25),신용카드,10800.0,
TX100756,2025-10-08,구독서비스,쿠팡와우,간편결제,14000.0,
TX100460,2025-06-23,카페/간식,스타벅스,간편결제,8100.0,
TX100681,2025-09-11,경조사/기타,기타,신용카드,44300.0,
TX100593,2025-08-10,교통,주유소(SK),간편결제,2500.0,
TX100279,2025-04-16,교통,,신용카드,5300.0,
TX100881,2025-11-27,식비,편의점(CU),신용카드,16900.0,
TX100003,2025-01-01,쇼핑,다이소,체크카드,24700.0,
TX100230,2025-03-29,카페/간식,투썸플레이스,신용카드,1000.0,
TX100400,2025-05-31,카페/간식,메가커피,체크카드,11100.0,
TX100761,2025-10-10,식비,요기요,간편결제,11300.0,
TX100835,2025-11-09,문화/여가,여행사,신용카드,40000.0,
TX100200,2025/07/15,교통,주차장,신용카드,3100.0,
TX100508,2025-07-10,쇼핑,다이소,체크카드,56600.0,
TX100493,2025-07-05,식비,편의점(GS25),간편결제,14900.0,
TX100066,2025-01-22,교통,SRT,체크카드,3900.0,
TX100813,2025-10-31,식비,편의점(GS25),신용카드,11500.0,
TX100043,2025-01-14,의료/건강,헬스장,간편결제,3800.0,
TX100725,2025-09-28,교통,주유소(SK),체크카드,3900.0,
TX100447,2025-06-18,문화/여가,여행사,체크카드,33100.0,
TX100664,2025-09-06,문화/여가,넷플릭스 결제,신용카드,56200.0,
TX100466,2025-06-25,카페/간식,컴포즈커피,간편결제,3400.0,
TX100490,2025-07-04,식비,맘스터치,체크카드,1000.0,
TX100274,2025-04-14,카페/간식,투썸플레이스,신용카드,8000.0,
TX100678,2025-09-10,의료/건강,약국,신용카드,8300.0,
TX100611,2025-08-18,식비,교촌치킨,체크카드,16300.0,
TX100456,2025-06-22,식비,교촌치킨,간편결제,8000.0,
TX100827,2025-11-06,카페/간식,컴포즈커피,신용카드,9300.0,
TX100178,2025-03-09,경조사/기타,축의금,체크카드,56000.0,
TX100302,2025-04-25,카페/간식,컴포즈커피,체크카드,3800.0,
TX100038,2025-01-12,통신,SKT,신용카드,70900.0,
TX100455,2025-06-21,교통,주차장,간편결제,3300.0,
TX100203,2025-03-18,교통,서울교통공사,체크카드,3600.0,
TX100236,2025-03-31,카페/간식,베스킨라빈스,신용카드,9000.0,
TX100150,2025-02-25,카페/간식,메가커피,체크카드,4500.0,
TX100218,2025-03-23,카페/간식,베스킨라빈스,신용카드,6500.0,
TX100654,2025-09-03,교통,카카오T,신용카드,1500.0,
TX100379,2025-05-22,통신,KT,체크카드,61400.0,
TX100532,2025-07-20,카페/간식,파리바게뜨,신용카드,6300.0,
TX100592,2025-08-10,카페/간식,투썸플레이스,신용카드,5700.0,
TX100436,2025-06-15,카페/간식,스타벅스,신용카드,7800.0,
TX100301,2025-04-25,식비,쿠팡이츠,체크카드,16400.0,
TX100831,2025-11-08,쇼핑,쿠팡,신용카드,87100.0,
TX100892,2025-11-30,통신,SKT,간편결제,65600.0,
TX100651,2025-09-02,의료/건강,한의원,간편결제,18600.0,
TX100897,2025-12-02,통신,SKT,신용카드,-64400.0,
TX100390,2025-05-28,식비,동네식당,신용카드,16500.0,
TX100888,2025-11-29,카페/간식,이디야커피,체크카드,8200.0,
TX100858,2025-11-17,카페/간식,컴포즈커피,간편결제,8900.0,
TX100353,2025-05-13,카페/간식,이디야커피,신용카드,2700.0,
TX100194,2025-03-15,교통,SRT,체크카드,5300.0,
TX100235,2025-03-31,식비,,체크카드,5900.0,
TX100409,2025-06-05,식비,김밥천국,간편결제,15800.0,
TX100810,2025-10-30,카페/간식,메가커피,간편결제,7100.0,
TX100057,2025-01-18,의료/건강,치과,간편결제,15600.0,
TX100954,2025-12-24,카페/간식,스타벅스,신용카드,4300.0,
TX100097,2025-02-04,식비,편의점(GS25),신용카드,7600.0,
TX100142,2025-02-20,경조사/기타,기타,신용카드,1000.0,
TX100844,2025-11-13,식비,편의점(GS25),체크카드,15100.0,
TX100832,2025-11-09,식비,김밥천국,간편결제,16100.0,
TX100526,2025-07-18,교통,주차장,신용카드,2700.0,
TX100553,2025-07-27,교통,주차장,신용카드,1900.0,
TX100119,2025-02-13,교통,주차장,체크카드,6200.0,
TX100880,2025-11-26,카페/간식,투썸플레이스,신용카드,12800.0,
TX100479,2025-06-29,카페/간식,이디야커피,체크카드,2400.0,
TX100063,2025-01-21,교통,SRT,신용카드,5200.0,
TX100738,2025-10-01,식비,편의점(GS25),신용카드,4000.0,
TX100808,2025-10-29,경조사/기타,기부,체크카드,55900.0,
TX100004,2025-01-01,통신,SKT,신용카드,62400.0,
TX100059,2025-01-19,카페/간식,컴포즈커피,신용카드,8000.0,
TX100224,2025-03-26,식비,맘스터치,신용카드,17300.0,
TX100597,2025-08-13,식비,교촌치킨,체크카드,15800.0,
TX100102,2025-02-05,의료/건강,약국,신용카드,10500.0,
TX100698,2025-09-20,카페/간식,베스킨라빈스,체크카드,4800.0,
TX100222,2025-03-25,카페/간식,이디야커피,신용카드,3000.0,
TX100432,2025-06-13,주거/관리비,도시가스,체크카드,512400.0,
TX100005,2025-01-02,식비,배달의민족,간편결제,,
TX100053,2025-01-17,교통,카카오T,신용카드,5400.0,
TX100016,2025-01-05,교통,주유소(SK),신용카드,5800.0,
TX100724,2025-09-28,카페/간식,투썸플레이스,체크카드,7900.0,
TX100883,2025-11-27,문화/여가,넷플릭스 결제,신용카드,7400.0,
TX100307,2025-04-27,식비,동네식당,간편결제,9100.0,
TX100644,2025-08-31,식비,본죽,신용카드,19100.0,
